"","studyName","Lat","Long","impactScore","impact"
"109","KFMP",34.0045,-119.385783,5.445969,"yes"
"110","KFMP",34.0126,-119.389183,5.505942,"yes"
"111","KFMP",34.0141,-119.359017,5.537679,"yes"
"112","KFMP",33.47985,-119.0622,7.076139,"yes"
"113","KFMP",33.473067,-119.026817,5.819424,"yes"
"114","KFMP",33.462933,-119.031267,5.837343,"yes"
"115","KFMP",33.897533,-120.10075,7.296343,"yes"
"116","KFMP",34.032617,-120.107,6.967663,"yes"
"117","KFMP",33.949667,-119.827583,9.854503,"yes"
"118","KFMP",34.05635,-119.75515,-9999,"no"
"119","KFMP",34.034883,-119.703083,12.956512,"yes"
"120","KFMP",34.047983,-119.5514,16.44059,"yes"
"121","Kilfoyle",26.018,-80.112,-9999,"no"
"122","Kilfoyle",26.018,-80.112,-9999,"no"
"123","Masuda",35.547,135.349,52.354282,"yes"
"124","McClanahan",-4.319,39.577,-9999,"no"
"125","McClanahan",-3.921,39.789,-9999,"no"
"126","McClanahan",-3.989,39.751,-9999,"no"
"127","McClanahan",-3.803,39.845,-9999,"no"
"128","McLusky",56.029,-3.657,-9999,"no"
"129","Miller",43.347,-124.321,26.517704,"yes"
"130","Moreira",42.12,-8.85,39.911121,"yes"
"131","Noble",17.621,-63.26,9.13082,"yes"
"132","Noble",17.615,-63.232,8.979942,"yes"
"133","Occhipinti",44.2485,12.482,2.888785,"yes"
"134","Occhipinti",44.2146,12.4152,2.888785,"yes"
"135","Occhipinti",44.2292,12.4401,2.888785,"yes"
"136","Occhipinti",44.678,12.426,4.264127,"yes"
"137","Occhipinti",44.678,12.264,4.802784,"yes"
"138","Occhipinti",44.678,12.314,4.737105,"yes"
"139","Robinson",48.723,-123.249,-9999,"no"
"140","Robinson",48.723,-123.249,-9999,"no"
"141","Robinson",48.899,-125.278,-9999,"no"
"142","Robinson",52.393,-131.231,14.528071,"yes"
"143","Robinson",48.899,-125.278,-9999,"no"
"144","SBC",34.400275,-119.744592,3.738406,"yes"
"145","SBC",34.471817,-120.142617,-9999,"no"
"146","SBC",34.46775,-120.11905,-9999,"no"
"147","SBC",34.458505,-120.33349,-9999,"no"
"148","SBC",34.391632,-119.541693,3.44172,"yes"
"149","SBC",34.413717,-119.9221,5.862882,"yes"
"150","SBC",34.402783,-119.85755,3.829304,"yes"
"151","SBC",34.394071,-119.72957,3.780287,"yes"
"152","SBC",34.422122,-119.95154,7.486676,"yes"
"153","SBC",34.05865,-119.75763,-9999,"no"
"154","SBC",34.044433,-119.71513,12.410836,"yes"
"155","SeaBrook",42.9,-70.793,19.276093,"yes"
"156","SeaBrook",42.892,-70.788,19.284943,"yes"
"157","SeaBrook",42.971,-70.753,-9999,"no"
"158","SeaBrook",42.96,-70.769,-9999,"no"
"159","Sebens",42.420954,-70.904486,-9999,"no"
"160","Sebens",42.502203,-70.774596,9.169969,"yes"
"161","Sebens",42.502202,-70.775088,9.139756,"yes"
"162","Sebens",42.414742,-70.905683,-9999,"no"
"163","Sebens",42.414885,-70.905211,-9999,"no"
"164","Sheaves",-19.273,146.787,-9999,"no"
"165","Sheaves",-19.269,146.788,-9999,"no"
"166","Shimanaga",35,139.35,11.382116,"yes"
"167","Shin",22.289,114.173,-9999,"no"
"168","Shin",22.293,114.051,34.451862,"yes"
"169","Shin",22.294,114.223,-9999,"no"
"170","Shin",22.249,114.265,16.36301,"yes"
"171","Shin",22.306,114.102,51.493,"yes"
"172","Somerfield",24.814,-80.737,12.132067,"yes"
"174","Svensson",12.644,109.4,-9999,"no"
"175","Svensson",12.643,109.4,-9999,"no"
"176","Svensson",12.646,109.398,-9999,"no"
"177","Svensson",12.645,109.398,-9999,"no"
"178","Svensson",12.653,109.395,-9999,"no"
"179","Svensson",12.654,109.393,-9999,"no"
"180","Svensson",12.656,109.396,-9999,"no"
"181","Svensson",12.655,109.395,-9999,"no"
"182","SwedFishTrap",57.252,12.077,7.395976,"yes"
"183","SwedFishTrap",57.226,12.09,6.54056,"yes"
"186","SwedMacro",57.815,16.891,9.799135,"yes"
"187","SwedMacro",57.815,16.891,9.799135,"yes"
"188","SwedMacro",57.408,16.779,3.415583,"yes"
"189","SwedMacro",57.408,16.779,3.415583,"yes"
"190","Touzri",37.286,9.92,5.669013,"yes"
"191","Touzri",37.188,9.855,-9999,"no"
"192","Valdes",43.567,-3.783,13.594076,"yes"
"193","Valdes",43.7,-3.783,10.69873,"yes"
"194","Warwick",54.673,-1.118,-9999,"no"
"195","Warwick",54.6,-1.171,-9999,"no"
"196","Warwick",54.657,-1.148,-9999,"no"
"197","Warwick",54.631,-1.16,-9999,"no"
"198","Whomersley",53.57,-3.332,15.237293,"yes"
"199","Whomersley",53.57,-3.332,15.237293,"yes"
"200","Whomersley",53.57,-3.332,15.237293,"yes"
"201","Yildiz",41.188,40.238,11.102506,"yes"
